,Stock,Most Recent Cost of Revenue,2nd Most Recent Cost of Revenue,3rd Most Recent Cost of Revenue,4th Most Recent Cost of Revenue
0,AAPL,69702000000.0,48186000000.0,46179000000.0,51505000000.0
1,MSFT,16960000000.0,13646000000.0,13991000000.0,13045000000.0
2,GOOG,32988000000.0,27621000000.0,26227000000.0,24103000000.0
3,AMZN,82835000000.0,62930000000.0,64176000000.0,62403000000.0
4,TSLA,12872000000.0,10097000000.0,9074000000.0,8174000000.0
5,BRK-A,22075000000.0,57420000000.0,32464000000.0,49272000000.0
6,FB,6348000000.0,5771000000.0,5399000000.0,5131000000.0
7,UNH,56159000000.0,55104000000.0,54206000000.0,52476000000.0
8,NVDA,2644000000.0,2472000000.0,2292000000.0,2032000000.0
9,JNJ,7920000000.0,7232000000.0,7567000000.0,7036000000.0
10,V,190000000.0,192000000.0,186000000.0,179000000.0
11,WMT,115522000000.0,105023000000.0,105183000000.0,103272000000.0
12,PG,10664000000.0,10365000000.0,9657000000.0,8922000000.0
13,JPM,0.0,0.0,0.0,0.0
14,XOM,54009000000.0,48464000000.0,45800000000.0,40663000000.0
15,MA,0.0,0.0,0.0,0.0
16,CVX,27341000000.0,23834000000.0,20629000000.0,17568000000.0
17,HD,23857000000.0,24257000000.0,27453000000.0,24758000000.0
18,BAC,0.0,0.0,0.0,0.0
19,KO,4088000000.0,3977000000.0,3787000000.0,3505000000.0
20,ABBV,4280000000.0,4344000000.0,4498000000.0,4192000000.0
21,PFE,9567000000.0,9931000000.0,6992000000.0,4172000000.0
22,LLY,2145600000.0,1430800000.0,1530200000.0,1878600000.0
23,COST,45517000000.0,43952000000.0,54733000000.0,39415000000.0
24,AVGO,1925000000.0,1920000000.0,1729000000.0,1699000000.0
25,PEP,12114000000.0,9385000000.0,8877000000.0,6669000000.0
26,TMO,5456000000.0,4679000000.0,4749000000.0,4689000000.0
27,VZ,14996000000.0,13528000000.0,14255000000.0,13522000000.0
28,DIS,14567000000.0,12341000000.0,11233000000.0,9782000000.0
29,MRK,3827000000.0,3402000000.0,3029000000.0,2984000000.0
30,CSCO,4671000000.0,4847000000.0,4782000000.0,4618000000.0
31,ABT,4297000000.0,4423000000.0,4437000000.0,4400000000.0
32,CMCSA,9880000000.0,10395000000.0,9256000000.0,8919000000.0
33,ORCL,2218000000.0,2159000000.0,2103000000.0,2122000000.0
34,NKE,5804000000.0,6144000000.0,6552000000.0,6686000000.0
35,ADBE,512000000.0,507000000.0,467000000.0,444000000.0
36,DHR,3147000000.0,2853000000.0,2821000000.0,2576000000.0
37,INTC,9519000000.0,8446000000.0,8425000000.0,8819000000.0
38,MCD,2748100000.0,2769900000.0,2668400000.0,2456300000.0
39,WFC,0.0,0.0,0.0,0.0
40,CRM,2014000000.0,1844000000.0,1613000000.0,1555000000.0
41,UPS,21731000000.0,17421000000.0,17330000000.0,13938000000.0
42,BMY,2356000000.0,2194000000.0,2363000000.0,2424000000.0
43,TMUS,9447000000.0,8168000000.0,8584000000.0,8373000000.0
44,TXN,1482000000.0,1491000000.0,1503000000.0,1492000000.0
45,PM,2807000000.0,2596000000.0,2353000000.0,2274000000.0
46,RTX,13607000000.0,13085000000.0,12654000000.0,12517000000.0
47,QCOM,4303000000.0,3937000000.0,3404000000.0,3432000000.0
48,MS,1644000000.0,1613000000.0,1560000000.0,1643000000.0
49,UNP,2431000000.0,2303000000.0,2190000000.0,2133000000.0
