Stock,Most Recent Before,Most Recent After,2nd Most Recent Before,2nd Most Recent After,3rd Most Recent Before,3rd Most Recent After,4th Most Recent Before,4th Most Recent After
AAPL,AAPL,121954600.0,179935700.0,100077900.0,124953200.0,104818600.0,118931200.0,107760100.0,151101000.0
MSFT,MSFT,72848600.0,90428900.0,28107300.0,52588700.0,33604100.0,33566900.0,31014200.0,46903100.0
GOOG,GOOG,2560200.0,4487500.0,1412900.0,2592500.0,2108200.0,2734400.0,1598600.0,2986400.0
AMZN,AMZN,11276600.0,12672800.0,5708700.0,6486100.0,5520000.0,9965600.0,7682400.0,7009300.0
TSLA,TSLA,23570400.0,35138800.0,34955800.0,49036500.0,14032100.0,31481500.0,25336600.0,32813300.0
BRK-A,BRK-A,18.0,16.0,22.0,24.0,17.0,28.0,13.0,16.0
FB,FB,58458300.0,188119900.0,38409000.0,65654000.0,29676900.0,33413200.0,33907200.0,56526800.0
UNH,UNH,4210600.0,2087100.0,4030900.0,3228600.0,6038800.0,3312000.0,3546500.0,2625400.0
NVDA,NVDA,73267600.0,81059500.0,42850800.0,78171100.0,28591300.0,76655500.0,37044000.0,58147600.0
JNJ,JNJ,14380800.0,8044900.0,14081200.0,9963200.0,10081300.0,6003200.0,7585200.0,5281900.0
V,V,12009800.0,26425300.0,7814500.0,22958100.0,7038300.0,9036500.0,6642100.0,10111400.0
WMT,WMT,17943800.0,10367800.0,24662200.0,11038700.0,16983400.0,9403900.0,19394600.0,11624900.0
PG,PG,10196100.0,9365700.0,14088300.0,10799100.0,9555300.0,7352700.0,14394300.0,7009500.0
JPM,JPM,30838000.0,18819400.0,40158400.0,32324800.0,22753500.0,15176800.0,22671700.0,14622800.0
XOM,XOM,61033100.0,30299300.0,23966300.0,19656400.0,28652800.0,20873800.0,30518400.0,20509600.0
MA,MA,8416100.0,8813400.0,9505100.0,5843700.0,3774000.0,2533300.0,4637100.0,4043200.0
CVX,CVX,24817800.0,16401800.0,15294200.0,11213800.0,12295300.0,8911800.0,13730000.0,7938100.0
HD,HD,19752800.0,11026000.0,8648200.0,4647000.0,9322800.0,4880600.0,7010300.0,5242100.0
BAC,BAC,80080300.0,53714200.0,84451800.0,46265300.0,82201000.0,64264900.0,105651700.0,54697300.0
KO,KO,23561500.0,22781400.0,24019800.0,15928000.0,20918200.0,13402700.0,19352900.0,14419200.0
ABBV,ABBV,11363100.0,10272700.0,16545000.0,7096800.0,9017200.0,9245500.0,10575400.0,9138200.0
PFE,PFE,67922000.0,38522200.0,69248000.0,44593100.0,53822400.0,29015000.0,52802200.0,76627500.0
LLY,LLY,3473600.0,3569300.0,4533000.0,3181300.0,5406200.0,3892400.0,6838700.0,4682800.0
COST,COST,3851800.0,4417900.0,3200500.0,6333600.0,2061200.0,3353800.0,4452000.0,4681200.0
AVGO,AVGO,2645400.0,4475700.0,2908000.0,5708700.0,1699100.0,2519100.0,2038900.0,2386500.0
PEP,PEP,7899800.0,7299600.0,6103100.0,5499200.0,8750800.0,6390300.0,4777100.0,6481400.0
TMO,TMO,2087200.0,1758000.0,1771100.0,1280000.0,1814500.0,1000800.0,3359200.0,2094800.0
VZ,VZ,32075900.0,41504700.0,30659500.0,17771100.0,25264100.0,16231400.0,18310100.0,20921900.0
DIS,DIS,22877400.0,42500300.0,11045800.0,62366500.0,11081300.0,32504600.0,12332200.0,33149400.0
MRK,MRK,19181400.0,10716200.0,28854700.0,18678600.0,11583000.0,13004500.0,30602753.0,18052114.0
CSCO,CSCO,20388700.0,32884700.0,31496300.0,70834000.0,17111700.0,39881600.0,29187900.0,48830800.0
ABT,ABT,8334200.0,7321100.0,14753100.0,9179500.0,8401900.0,4984000.0,6958000.0,4736100.0
CMCSA,CMCSA,49168100.0,34458000.0,21159400.0,26924000.0,19769600.0,22478300.0,21710400.0,21907400.0
ORCL,ORCL,13812600.0,22795800.0,8615800.0,45824600.0,18883400.0,22714200.0,17298000.0,36560600.0
NKE,NKE,14388500.0,19731200.0,8411900.0,13862900.0,11981500.0,26913300.0,11420500.0,46285400.0
ADBE,ADBE,5377000.0,13979800.0,10961200.0,7999200.0,2449300.0,5689600.0,3566400.0,6762000.0
DHR,DHR,3483000.0,3013500.0,5624900.0,4955600.0,2872100.0,2174000.0,2448200.0,2076200.0
INTC,INTC,54895400.0,89642800.0,38390900.0,109971900.0,36691000.0,67742300.0,38257600.0,77479500.0
MCD,MCD,5199000.0,3833200.0,5249400.0,3448500.0,4948500.0,2572300.0,3146700.0,2640400.0
WFC,WFC,65565900.0,26120900.0,56739600.0,41689600.0,53257700.0,60096600.0,49618000.0,33388100.0
CRM,CRM,12587300.0,16670100.0,13597600.0,30723100.0,9701000.0,18987000.0,15344100.0,17810800.0
UPS,UPS,19125300.0,5474000.0,6596500.0,3309000.0,13741500.0,6295500.0,14666500.0,6308800.0
BMY,BMY,13193700.0,17538000.0,18773700.0,16380800.0,11625900.0,8963700.0,21473300.0,17026200.0
TMUS,TMUS,6408000.0,16349300.0,5446500.0,9641800.0,4198600.0,6600300.0,4891800.0,8802900.0
TXN,TXN,8157600.0,12852700.0,5837500.0,10365500.0,6352800.0,12673900.0,3864100.0,9434200.0
PM,PM,5835500.0,4139000.0,7008300.0,8674300.0,4223900.0,3778600.0,6816200.0,4108000.0
RTX,RTX,10377400.0,9829100.0,9122500.0,4273200.0,8429700.0,5517100.0,11082400.0,7164200.0
QCOM,QCOM,25646300.0,36120200.0,13216000.0,48321500.0,9303400.0,19446900.0,13118100.0,20502100.0
MS,MS,16341500.0,7897500.0,19716100.0,22637600.0,14766800.0,11678100.0,12465900.0,12595400.0
UNP,UNP,4179600.0,5090400.0,4256100.0,4932400.0,3361500.0,3809000.0,4194900.0,3946800.0
